Depth,Count,Ticks,Result,Guess,Average,IsAnswer,Pass,Equations
2,4,6096,Optimal,1*10-1=9,1.75,False,Answers,
2,4,378,Optimal,1*16-7=9,1.75,False,Answers,
2,4,149,Optimal,60/6-1=9,1.75,True,Answers,
2,3,359,Best,60/6-1=9,2,True,Answers,
2,3,154,Best,60/6-9=1,2,True,Answers,
2,3,123,Optimal,1*10-1=9,1.3333333333333333333333333333,True,Answers,
2,3,258,Optimal,1*10-9=1,1.3333333333333333333333333333,True,Answers,
2,6,542,Optimal,1*16-7=9,1.6666666666666666666666666667,True,Answers,
2,3,156,Optimal,1+17-9=9,1.6666666666666666666666666667,True,Answers,
2,3,134,Optimal,9+1-10=0,1.6666666666666666666666666667,False,Answers,
2,4,137,Optimal,1*10-1=9,1.75,False,Answers,
2,4,121,Optimal,1*16-7=9,1.75,False,Answers,
2,4,125,Optimal,10+6-7=9,1.75,False,Answers,
2,4,118,Optimal,7-10+9=6,1.5,True,Answers,
2,6,343,Optimal,9-17+9=1,1.6666666666666666666666666667,True,Answers,
2,4,119,Optimal,70/7-1=9,1.75,True,Answers,
2,3,111,Optimal,1*10-1=9,1.3333333333333333333333333333,True,Answers,
2,3,105,Optimal,1*10-9=1,1.3333333333333333333333333333,True,Answers,
2,3,107,Optimal,1*16-7=9,1.3333333333333333333333333333,True,Answers,
2,3,105,Optimal,1*16-9=7,1.3333333333333333333333333333,True,Answers,
3,5,141,Optimal,7+9-10=6,1.6,True,Answers,
2,7,665,Optimal,7+9-10=6,1.7142857142857142857142857143,True,Answers,
2,3,115,Optimal,11+7-9=9,1.6666666666666666666666666667,True,Answers,
3,4,113,Optimal,7+9-10=6,1.75,True,Answers,
2,5,537,Optimal,6-9+10=7,1.8,True,Answers,
2,3,164,Best,60/6-1=9,2,True,Answers,
2,3,159,Best,60/6-9=1,2,True,Answers,
3,5,130,Optimal,7+9-10=6,1.6,True,Answers,
3,4,118,Optimal,7-10+9=6,1.75,True,Answers,
2,9,1027,Optimal,7-10+9=6,1.7777777777777777777777777778,True,Answers,
